candidate_id,skill,score
CAND_0000001,NLP,38.8
CAND_0000001,Image Classification,64.8
CAND_0000001,Fine-tuning LLMs,41.6
CAND_0000001,Speech Recognition,53.7
CAND_0000010,GANs,53.3
CAND_0000010,OpenCV,65.5
CAND_0000010,Prompt Engineering,73.8
CAND_0000010,Object Detection,81.3
CAND_0000011,Recommendation Systems,29.8
CAND_0000014,FAISS,77.6
CAND_0000020,Weights & Biases,53.7
CAND_0000024,Forecasting,65.1
CAND_0000025,LangChain,40.0
CAND_0000027,YOLO,60.2
CAND_0000027,PEFT,50.5
CAND_0000027,Data Science,35.1
CAND_0000031,MLflow,75.1
CAND_0000031,FAISS,68.4
CAND_0000031,Pinecone,53.6
CAND_0000031,Image Classification,57.1
CAND_0000050,Feature Engineering,60.8
